Year,Named Storms,Hurricanes,Major Hurricanes,ACE
1901,13,6,0,99
1902,5,3,0,33
1903,10,7,1,102
1904,6,4,0,30
1905,5,1,1,28
1906,11,6,3,163
1907,5,0,0,13
1908,10,6,1,95
1909,12,6,4,93
1910,5,3,1,64
1911,6,3,0,35
1912,7,4,1,57
1913,6,4,0,36
1914,1,0,0,3
1915,6,5,3,130
1916,15,10,5,144
1917,4,2,2,61
1918,6,4,1,40
1919,5,2,1,55
1920,5,4,0,30
1921,7,5,2,87
1922,5,3,1,55
1923,9,4,1,49
1924,11,5,2,100
1925,4,1,0,7
1926,11,8,6,230
1927,8,4,1,56
1928,6,4,1,83
1929,5,3,1,48
1930,3,2,2,50
1931,13,3,1,48
1932,15,6,4,170
1933,20,11,6,259
1934,13,7,1,48
1935,8,5,3,106
1936,17,7,1,100
1937,11,4,1,66
1938,9,4,2,78
1939,6,3,1,34
1940,9,6,0,68
1941,6,4,3,52
1942,11,4,1,63
1943,10,5,2,94
1944,14,8,3,104
1945,11,5,2,63
1946,6,3,1,22
1947,9,5,2,112
1948,9,6,4,106
1949,13,7,3,98
1950,13,11,8,243
1951,10,8,5,137
1952,7,6,3,87
1953,14,6,4,104
1954,11,8,2,113
1955,12,9,6,199
1956,8,4,2,54
1957,8,3,2,84
1958,10,7,5,121
1959,11,7,2,77
1960,7,4,2,88
1961,11,8,7,205
1962,5,3,1,36
1963,9,7,2,118
1964,12,6,6,170
1965,6,4,1,84
1966,11,7,3,145
1967,8,6,1,122
1968,8,4,0,45
1969,18,12,5,166
1970,10,5,2,40
1971,13,6,1,97
1972,7,3,0,36
1973,8,4,1,48
1974,11,4,2,68
1975,9,6,3,76
1976,10,6,2,84
1977,6,5,1,25
1978,12,5,2,63
1979,9,5,2,93
1980,11,9,2,149
1981,12,7,3,100
1982,6,2,1,32
1983,4,3,1,17
1984,13,5,1,84
1985,11,7,3,88
1986,6,4,0,36
1987,7,3,1,34
1988,12,5,3,103
1989,11,7,2,135
1990,14,8,1,97
1991,8,4,2,36
1992,7,4,1,76
1993,8,4,1,39
1994,7,3,0,32
1995,19,11,5,228
1996,13,9,6,166
1997,8,3,1,41
1998,14,10,3,182
1999,12,8,5,177
2000,15,8,3,119
2001,15,9,4,110
2002,12,4,2,67
2003,16,7,3,176
2004,15,9,6,227
2005,28,15,7,250
2006,10,5,2,79
2007,15,6,2,74
2008,16,8,5,146
2009,9,3,2,53
2010,19,12,5,165
2011,19,7,4,126
2012,19,10,2,129
2013,14,2,0,36
2014,8,6,2,67
2015,11,4,2,63
